2018-11-19 16:33:37,673 - StartUp.py - 8 : --------------------开始--------------------
2018-11-19 16:33:46,215 - pipelines.py - 126 : open_sina7x24_spider
2018-11-19 16:34:20,629 - MongoDBStudy.py - 36 : 数据库已存在！
2018-11-19 16:34:20,632 - MongoDBStudy.py - 51 : 集合已存在！
2018-11-19 16:34:20,650 - MongoDBStudy.py - 88 : 数据总量：264
2018-11-19 16:34:20,650 - MongoDBStudy.py - 90 : {'date': '2018-11-14 11:33:05', 'info': '印度卢比兑美元开盘涨0.7%，至72.17卢比。'}
2018-11-19 16:34:20,650 - MongoDBStudy.py - 90 : {'date': '2018-11-14 11:33:20', 'info': '【上海证券交易所：科创板争取明年上半年见到成效】上海证交所发行上市总经理魏刚表示，正积极推进科创板和注册制结合，会把风险防控作为重要内容进行，争取明年上半年见成效。'}
2018-11-19 16:34:20,651 - MongoDBStudy.py - 90 : {'date': '2018-11-14 11:33:30', 'info': '【中科院西安科学园暨西安科学城开工建设】11月13日，中国科学院西安科学园西安科学城项目建设启动仪式在高新区举行。据了解，西安科学城占地总规划约19平方公里。其中，中科院西安科学园作为科学城的核心板块，规划建设用地5平方公里，选址位于西安高新区梁家滩国际社区。一期规划建设用地3000亩建设科技创新区，打造国家级科学研究基地、先进技术研发基地和高级人才培养基地。二期规划建设用地4500亩建设产业转化孵化区，围绕光电信息、航空航天、新材料、民生健康和环境保护等领域，培育一批高科技创新企业，打造高水平的成果转化中心、科技金融中心和创业孵化中心。'}
2018-11-19 16:34:20,651 - MongoDBStudy.py - 90 : {'date': '2018-11-14 11:39:44', 'info': '【长沙南部片区规划纲要发布 打造长株潭融城新极核】《长沙南部片区规划纲要》13日出炉。《纲要》借鉴雄安新区等地区先进规划理念，结合本地实际，提出构建“融城极核、魅力绿心、智慧五谷、多彩南城”发展格局，建设全国两型发展引领区、长株潭融合发展核心区、长沙创新发展示范区。（湖南日报）'}
2018-11-19 16:34:20,651 - MongoDBStudy.py - 90 : {'date': '2018-11-14 11:41:16', 'info': '【首届雄安国际健康论坛举行】11月13日，首届雄安国际健康论坛在廊坊开幕。省委常委、副省长、雄安新区党工委书记、管委会主任陈刚，副省长徐建培出席论坛并参加有关活动。徐建培表示，河北省委、省政府始终将健康产业作为战略性支柱产业来打造，积极促进健康与养老、旅游、体育等深度融合，培育壮大特色鲜明的健康产业集群，持续推动健康产业提档升级、快速发展。要充分利用好首届雄安国际健康论坛的机会，广泛交流，深入研讨，共同为加快健康产业发展献策出力。'}
2018-11-19 16:34:20,651 - MongoDBStudy.py - 90 : {'date': '2018-11-14 11:48:05', 'info': '【统计局： 猪肉价格应该会有恢复性的上涨 】国家统计局新闻发言人刘爱华表示，猪肉价格连续四个月同比降幅收窄，目前下降1.3%。猪肉价格大家都很关注，比如有猪瘟疫情，还有常规的冬季对肉类需求有所上升。目前来看猪肉价格累计仍然同比下降9.4%，猪肉价格在这个基础上应该会有恢复性的上涨。'}
2018-11-19 16:34:20,651 - MongoDBStudy.py - 90 : {'date': '2018-11-14 11:48:45', 'info': '【统计局：下一步保持居民消费价格平稳有坚实基础】国家统计局新闻发言人刘爱华表示，从未来走势看，支持物价平稳的因素是比较多的。从食品、工业消费品和服务这三个层面看，下一步保持居民消费价格的平稳是有坚实基础的。'}
2018-11-19 16:34:20,651 - MongoDBStudy.py - 90 : {'date': '2018-11-14 11:49:46', 'info': '【ofo用户退押金有点难 客服称退款周期延至15个工作日】从ofo小黄车公司获悉，该平台退押金的周期已经从原来的1-10个工作日延长至1-15个工作日，如果再加上周末，时间会更长。（楚天都市报）'}
2018-11-19 16:34:20,652 - MongoDBStudy.py - 90 : {'date': '2018-11-14 11:55:21', 'info': '【统计局回应基建回升是否会带来一些投资品价格的回升：可能还需要比较长的时间】国家统计局新闻发言人刘爱华表示，关于基建的回升是不是会带来一些投资品价格的回升，从基本原理来讲，需求的回升可能会带来价格方面的变化。但目前基建投资还在低位，前10个月基建投资同比增长3.7%，在这个基础上的上升应该讲是低水平的回升。从基建投资回升到带动价格上涨可能还需要比较长的时间。'}
2018-11-19 16:34:20,652 - MongoDBStudy.py - 90 : {'date': '2018-11-14 12:01:40', 'info': '香港恒生指数上午收盘下跌0.1%，报25,758.06。'}
2018-11-19 16:34:20,652 - MongoDBStudy.py - 90 : {'date': '2018-11-14 12:03:44', 'info': '【午间公告】云南白药更新回购股份预案，拟以集中竞价等方式回购公司股份，用于实施员工持股计划，回购总额不低于7.635亿元，不超过15.27亿元，回购成本不超过76.34元/股。西陇科学近期遭平安资产减持136.43万股。'}
2018-11-19 16:34:20,652 - MongoDBStudy.py - 90 : {'date': '2018-11-14 12:17:12', 'info': '【华泰宏观李超：经济下行压力仍存 债市无风险利率仍有下行空间】华泰宏观李超团队点评10月经济数据认为，当前中美贸易摩擦局势未得到根本缓解，全球经济复苏局势及相关外需仍有较大不确定性；国内而言，基建投资并未出现显著反弹，预计今年四季度实际GDP增速仍为6.5%，而名义GDP增速大概率延续回落，基本面因素决定无风险利率仍有下行趋势。预计从今年四季度到2019年，货币政策有望更加宽松，经济基本面大幅复苏概率低。'}
2018-11-19 16:34:20,652 - MongoDBStudy.py - 90 : {'date': '2018-11-14 12:18:25', 'info': '【中国央行：中方愿与EBRD加强在“一带一路”下资金融通等合作】11月14日，由人民银行和欧洲复兴开发银行（EBRD）主办、中国工商银行承办的中亚投资论坛在北京举行。 央行副行长 陈雨露表示，中亚是共建“一带一路”的重要区域，金融领域的互利合作是中国与中亚地区合作的重要组成部分。中方愿与EBRD及各方一道，加强在“一带一路”倡议下的资金融通、股权融资市场培育、发展绿色金融、基础设施互联互通、能力建设、风险管理等方面合作，共同促进中亚地区可持续发展。EBRD行长查克拉巴蒂表示，EBRD的业务领域与“一带一路”倡议高度契合，EBRD愿与中国在遵循市场规则和透明原则的基础上加强第三方市场合作，共促“一带一路”沿线国家可持续、包容性增长。'}
